fuzzer,program,cycles,execs,paths_total,paths_found,total_edges,edges_found,bitmap_cvg,crashes,duration,region_rate,region_cov,region_tol,line_rate,line_cov,line_tol,branch_rate,branch_cov,branch_tol,function_rate,function_cov,function_tol,B
tortoise-loop,COMB_W2_D10_B736,0,2300,231,230,-1,-1,0.04%,1,5,35.0,1818,5133,36.0,1501,4148,-1.0,-1,-1,100,3,3,736
tortoise-loop,COMB_W2_D10_B736,0,14782,911,910,-1,-1,0.04%,1,12,94.0,4842,5133,94.0,3918,4148,-1.0,-1,-1,100,3,3,736
tortoise-loop,COMB_W2_D10_B736,0,8178,681,680,-1,-1,0.04%,1,8,80.0,4114,5133,80.0,3350,4148,-1.0,-1,-1,100,3,3,736
tortoise-loop,COMB_W2_D10_B736,0,6715,574,573,-1,-1,0.04%,1,7,70.0,3638,5133,71.0,2973,4148,-1.0,-1,-1,100,3,3,736
tortoise-loop,COMB_W2_D10_B736,0,11460,811,810,-1,-1,0.04%,1,10,88.0,4550,5133,88.0,3687,4148,-1.0,-1,-1,100,3,3,736
tortoise-loop,COMB_W2_D10_B736,0,21626,995,994,-1,-1,0.04%,1,15,98.0,5052,5133,98.0,4074,4148,-1.0,-1,-1,100,3,3,736
tortoise-loop,COMB_W2_D10_B736,0,3456,338,337,-1,-1,0.04%,1,6,48.0,2495,5133,49.0,2052,4148,-1.0,-1,-1,100,3,3,736
tortoise-loop,COMB_W2_D10_B736,0,23934,1002,1001,-1,-1,0.04%,1,17,98.0,5074,5133,98.0,4089,4148,-1.0,-1,-1,100,3,3,736
tortoise-loop,COMB_W2_D10_B736,0,13410,878,877,-1,-1,0.04%,1,11,92.0,4733,5133,92.0,3835,4148,-1.0,-1,-1,100,3,3,736
tortoise-loop,COMB_W2_D10_B736,0,6485,568,567,-1,-1,0.04%,1,8,71.0,3679,5133,72.0,3002,4148,-1.0,-1,-1,100,3,3,736
tortoise-loop,COMB_W2_D10_B736,0,3796,363,362,-1,-1,0.04%,1,6,51.0,2620,5133,52.0,2159,4148,-1.0,-1,-1,100,3,3,736
tortoise-loop,COMB_W2_D10_B736,0,10325,774,773,-1,-1,0.04%,1,9,86.0,4465,5133,87.0,3621,4148,-1.0,-1,-1,100,3,3,736
tortoise-loop,COMB_W2_D10_B736,0,2263,229,228,-1,-1,0.04%,1,5,34.0,1776,5133,35.0,1473,4148,-1.0,-1,-1,100,3,3,736
tortoise-loop,COMB_W2_D10_B736,0,10546,783,782,-1,-1,0.04%,1,10,86.0,4440,5133,86.0,3606,4148,-1.0,-1,-1,100,3,3,736
tortoise-loop,COMB_W2_D10_B736,0,10429,766,765,-1,-1,0.04%,1,9,86.0,4421,5133,86.0,3594,4148,-1.0,-1,-1,100,3,3,736
tortoise-loop,COMB_W2_D10_B736,0,14402,913,912,-1,-1,0.04%,1,12,94.0,4853,5133,94.0,3924,4148,-1.0,-1,-1,100,3,3,736
tortoise-loop,COMB_W2_D10_B736,0,26862,1012,1011,-1,-1,0.04%,1,19,99.0,5097,5133,98.0,4106,4148,-1.0,-1,-1,100,3,3,736
tortoise-loop,COMB_W2_D10_B736,0,13057,865,864,-1,-1,0.04%,1,11,91.0,4719,5133,92.0,3820,4148,-1.0,-1,-1,100,3,3,736
tortoise-loop,COMB_W2_D10_B736,0,4211,400,399,-1,-1,0.04%,1,7,55.0,2828,5133,56.0,2326,4148,-1.0,-1,-1,100,3,3,736
tortoise-loop,COMB_W2_D10_B416,0,6484,560,559,-1,-1,0.04%,1,8,70.0,3625,5133,71.0,2956,4148,-1.0,-1,-1,100,3,3,416
tortoise-loop,COMB_W2_D10_B416,0,1942,199,198,-1,-1,0.04%,1,5,32.0,1650,5133,32.0,1368,4148,-1.0,-1,-1,100,3,3,416
tortoise-loop,COMB_W2_D10_B416,0,4901,452,451,-1,-1,0.04%,1,6,60.0,3128,5133,61.0,2553,4148,-1.0,-1,-1,100,3,3,416
tortoise-loop,COMB_W2_D10_B416,0,7168,607,606,-1,-1,0.04%,1,8,74.0,3805,5133,75.0,3113,4148,-1.0,-1,-1,100,3,3,416
tortoise-loop,COMB_W2_D10_B416,0,4657,432,431,-1,-1,0.04%,1,7,59.0,3045,5133,60.0,2489,4148,-1.0,-1,-1,100,3,3,416
tortoise-loop,COMB_W2_D10_B416,0,2757,271,270,-1,-1,0.04%,1,6,40.0,2096,5133,41.0,1732,4148,-1.0,-1,-1,100,3,3,416
tortoise-loop,COMB_W2_D10_B416,0,2996,293,292,-1,-1,0.04%,1,6,43.0,2248,5133,44.0,1848,4148,-1.0,-1,-1,100,3,3,416
tortoise-loop,COMB_W2_D10_B416,0,12059,833,832,-1,-1,0.04%,1,11,89.0,4606,5133,89.0,3730,4148,-1.0,-1,-1,100,3,3,416
tortoise-loop,COMB_W2_D10_B416,0,7576,637,636,-1,-1,0.04%,1,8,76.0,3937,5133,77.0,3209,4148,-1.0,-1,-1,100,3,3,416
tortoise-loop,COMB_W2_D10_B416,0,3650,351,350,-1,-1,0.04%,1,6,51.0,2651,5133,52.0,2179,4148,-1.0,-1,-1,100,3,3,416
tortoise-loop,COMB_W2_D10_B416,0,1487,152,151,-1,-1,0.04%,1,5,22.0,1163,5133,23.0,970,4148,-1.0,-1,-1,100,3,3,416
tortoise-loop,COMB_W2_D10_B416,0,7853,652,651,-1,-1,0.04%,1,8,77.0,3972,5133,78.0,3244,4148,-1.0,-1,-1,100,3,3,416
tortoise-loop,COMB_W2_D10_B416,0,14876,916,915,-1,-1,0.04%,1,11,95.0,4889,5133,95.0,3945,4148,-1.0,-1,-1,100,3,3,416
tortoise-loop,COMB_W2_D10_B416,0,3066,304,303,-1,-1,0.04%,1,5,45.0,2355,5133,46.0,1932,4148,-1.0,-1,-1,100,3,3,416
tortoise-loop,COMB_W2_D10_B416,0,5049,457,456,-1,-1,0.04%,1,7,60.0,3085,5133,60.0,2530,4148,-1.0,-1,-1,100,3,3,416
tortoise-loop,COMB_W2_D10_B416,0,10634,782,781,-1,-1,0.04%,1,10,86.0,4457,5133,87.0,3614,4148,-1.0,-1,-1,100,3,3,416
tortoise-loop,COMB_W2_D10_B416,0,7675,633,632,-1,-1,0.04%,1,8,76.0,3946,5133,77.0,3212,4148,-1.0,-1,-1,100,3,3,416
tortoise-loop,COMB_W2_D10_B416,0,11541,788,787,-1,-1,0.04%,1,10,87.0,4478,5133,87.0,3637,4148,-1.0,-1,-1,100,3,3,416
tortoise-loop,COMB_W2_D10_B416,0,3737,362,361,-1,-1,0.04%,1,6,51.0,2655,5133,52.0,2177,4148,-1.0,-1,-1,100,3,3,416
tortoise-loop,COMB_W2_D10_B416,0,4881,452,451,-1,-1,0.04%,1,6,60.0,3102,5133,61.0,2542,4148,-1.0,-1,-1,100,3,3,416
tortoise-loop,COMB_W2_D10_B512,0,3043,302,301,-1,-1,0.04%,1,6,42.0,2167,5133,43.0,1786,4148,-1.0,-1,-1,100,3,3,512
tortoise-loop,COMB_W2_D10_B512,0,4228,400,399,-1,-1,0.04%,1,6,55.0,2830,5133,56.0,2334,4148,-1.0,-1,-1,100,3,3,512
tortoise-loop,COMB_W2_D10_B512,0,15108,908,907,-1,-1,0.04%,1,13,94.0,4867,5133,94.0,3927,4148,-1.0,-1,-1,100,3,3,512
tortoise-loop,COMB_W2_D10_B512,0,8466,682,681,-1,-1,0.04%,1,9,80.0,4113,5133,80.0,3346,4148,-1.0,-1,-1,100,3,3,512
tortoise-loop,COMB_W2_D10_B512,0,4921,458,457,-1,-1,0.04%,1,7,60.0,3111,5133,61.0,2566,4148,-1.0,-1,-1,100,3,3,512
tortoise-loop,COMB_W2_D10_B512,0,16376,940,939,-1,-1,0.04%,1,12,95.0,4904,5133,95.0,3964,4148,-1.0,-1,-1,100,3,3,512
tortoise-loop,COMB_W2_D10_B512,0,5806,526,525,-1,-1,0.04%,1,7,67.0,3442,5133,67.0,2810,4148,-1.0,-1,-1,100,3,3,512
tortoise-loop,COMB_W2_D10_B512,0,11213,790,789,-1,-1,0.04%,1,10,87.0,4512,5133,88.0,3654,4148,-1.0,-1,-1,100,3,3,512
tortoise-loop,COMB_W2_D10_B512,0,11621,812,811,-1,-1,0.04%,1,11,88.0,4542,5133,88.0,3680,4148,-1.0,-1,-1,100,3,3,512
tortoise-loop,COMB_W2_D10_B512,0,5324,489,488,-1,-1,0.04%,1,7,63.0,3257,5133,64.0,2673,4148,-1.0,-1,-1,100,3,3,512
tortoise-loop,COMB_W2_D10_B512,0,9187,702,701,-1,-1,0.04%,1,9,81.0,4200,5133,82.0,3411,4148,-1.0,-1,-1,100,3,3,512
tortoise-loop,COMB_W2_D10_B512,0,5185,474,473,-1,-1,0.04%,1,7,62.0,3196,5133,62.0,2605,4148,-1.0,-1,-1,100,3,3,512
tortoise-loop,COMB_W2_D10_B512,0,1905,191,190,-1,-1,0.04%,1,5,27.0,1421,5133,28.0,1178,4148,-1.0,-1,-1,100,3,3,512
tortoise-loop,COMB_W2_D10_B512,0,10758,790,789,-1,-1,0.04%,1,10,87.0,4475,5133,87.0,3627,4148,-1.0,-1,-1,100,3,3,512
tortoise-loop,COMB_W2_D10_B512,0,9424,713,712,-1,-1,0.04%,1,9,82.0,4246,5133,83.0,3458,4148,-1.0,-1,-1,100,3,3,512
tortoise-loop,COMB_W2_D10_B512,0,5563,505,504,-1,-1,0.04%,1,7,65.0,3373,5133,66.0,2758,4148,-1.0,-1,-1,100,3,3,512
tortoise-loop,COMB_W2_D10_B512,0,7153,601,600,-1,-1,0.04%,1,8,74.0,3808,5133,74.0,3106,4148,-1.0,-1,-1,100,3,3,512
tortoise-loop,COMB_W2_D10_B512,0,11550,802,801,-1,-1,0.04%,1,11,88.0,4548,5133,88.0,3683,4148,-1.0,-1,-1,100,3,3,512
tortoise-loop,COMB_W2_D10_B512,0,1853,187,186,-1,-1,0.04%,1,5,29.0,1522,5133,30.0,1262,4148,-1.0,-1,-1,100,3,3,512
tortoise-loop,COMB_W2_D10_B512,0,2145,215,214,-1,-1,0.04%,1,6,33.0,1710,5133,34.0,1424,4148,-1.0,-1,-1,100,3,3,512
tortoise-loop,COMB_W2_D10_B192,0,2474,250,249,-1,-1,0.04%,1,5,38.0,1976,5133,39.0,1629,4148,-1.0,-1,-1,100,3,3,192
tortoise-loop,COMB_W2_D10_B192,0,2271,228,227,-1,-1,0.04%,1,5,34.0,1753,5133,35.0,1454,4148,-1.0,-1,-1,100,3,3,192
tortoise-loop,COMB_W2_D10_B192,0,2686,266,265,-1,-1,0.04%,1,5,41.0,2108,5133,41.0,1742,4148,-1.0,-1,-1,100,3,3,192
tortoise-loop,COMB_W2_D10_B192,0,1874,191,190,-1,-1,0.04%,1,5,28.0,1440,5133,28.0,1191,4148,-1.0,-1,-1,100,3,3,192
tortoise-loop,COMB_W2_D10_B192,0,2861,286,285,-1,-1,0.04%,1,6,42.0,2163,5133,42.0,1779,4148,-1.0,-1,-1,100,3,3,192
tortoise-loop,COMB_W2_D10_B192,0,1925,194,193,-1,-1,0.04%,1,5,29.0,1490,5133,29.0,1235,4148,-1.0,-1,-1,100,3,3,192
tortoise-loop,COMB_W2_D10_B192,0,3447,341,340,-1,-1,0.04%,1,5,48.0,2478,5133,49.0,2047,4148,-1.0,-1,-1,100,3,3,192
tortoise-loop,COMB_W2_D10_B192,0,2606,259,258,-1,-1,0.04%,1,5,39.0,2009,5133,40.0,1671,4148,-1.0,-1,-1,100,3,3,192
tortoise-loop,COMB_W2_D10_B192,0,4618,438,437,-1,-1,0.04%,2,6,59.0,3069,5133,60.0,2512,4148,-1.0,-1,-1,100,3,3,192
tortoise-loop,COMB_W2_D10_B192,0,1570,160,159,-1,-1,0.04%,1,5,25.0,1291,5133,25.0,1075,4148,-1.0,-1,-1,100,3,3,192
tortoise-loop,COMB_W2_D10_B192,0,3353,325,324,-1,-1,0.04%,1,5,46.0,2402,5133,47.0,1974,4148,-1.0,-1,-1,100,3,3,192
tortoise-loop,COMB_W2_D10_B192,0,2310,232,231,-1,-1,0.04%,1,5,35.0,1832,5133,36.0,1510,4148,-1.0,-1,-1,100,3,3,192
tortoise-loop,COMB_W2_D10_B192,0,5748,517,516,-1,-1,0.04%,1,7,66.0,3398,5133,66.0,2779,4148,-1.0,-1,-1,100,3,3,192
tortoise-loop,COMB_W2_D10_B192,0,2215,223,222,-1,-1,0.04%,1,6,33.0,1731,5133,34.0,1434,4148,-1.0,-1,-1,100,3,3,192
tortoise-loop,COMB_W2_D10_B192,0,3484,338,337,-1,-1,0.04%,1,6,49.0,2532,5133,50.0,2081,4148,-1.0,-1,-1,100,3,3,192
tortoise-loop,COMB_W2_D10_B192,0,4149,398,397,-1,-1,0.04%,1,6,55.0,2850,5133,56.0,2345,4148,-1.0,-1,-1,100,3,3,192
tortoise-loop,COMB_W2_D10_B192,0,6702,587,586,-1,-1,0.04%,1,8,73.0,3763,5133,73.0,3065,4148,-1.0,-1,-1,100,3,3,192
tortoise-loop,COMB_W2_D10_B192,0,2317,232,231,-1,-1,0.04%,1,5,35.0,1832,5133,36.0,1517,4148,-1.0,-1,-1,100,3,3,192
tortoise-loop,COMB_W2_D10_B192,0,2323,232,231,-1,-1,0.04%,1,5,36.0,1884,5133,37.0,1561,4148,-1.0,-1,-1,100,3,3,192
tortoise-loop,COMB_W2_D10_B192,0,2748,274,273,-1,-1,0.04%,1,5,40.0,2081,5133,41.0,1715,4148,-1.0,-1,-1,100,3,3,192
tortoise-loop,COMB_W2_D10_B288,0,1177,121,120,-1,-1,0.04%,1,4,16.0,840,5133,17.0,706,4148,-1.0,-1,-1,100,3,3,288
tortoise-loop,COMB_W2_D10_B288,0,1053,108,107,-1,-1,0.04%,1,5,13.0,711,5133,14.0,602,4148,-1.0,-1,-1,100,3,3,288
tortoise-loop,COMB_W2_D10_B288,0,1191,123,122,-1,-1,0.04%,1,4,16.0,864,5133,17.0,724,4148,-1.0,-1,-1,100,3,3,288
