fuzzer,program,cycles,execs,paths_total,paths_found,total_edges,edges_found,bitmap_cvg,crashes,duration,region_rate,region_cov,region_tol,line_rate,line_cov,line_tol,branch_rate,branch_cov,branch_tol,function_rate,function_cov,function_tol,D
tortoise-loop,MAGIC_D4_L4_CHAR,211,523820,5,4,-1,-1,0.02%,1,244,42.0,21,50,38.0,40,103,-1.0,-1,-1,25,2,8,4
tortoise-loop,MAGIC_D4_L4_CHAR,0,9019,5,4,-1,-1,0.01%,1,9,42.0,21,50,38.0,40,103,-1.0,-1,-1,25,2,8,4
tortoise-loop,MAGIC_D4_L4_CHAR,52,113551,5,4,-1,-1,0.01%,1,56,42.0,21,50,38.0,40,103,-1.0,-1,-1,25,2,8,4
tortoise-loop,MAGIC_D4_L4_CHAR,24,63000,5,4,-1,-1,0.01%,1,33,42.0,21,50,38.0,40,103,-1.0,-1,-1,25,2,8,4
tortoise-loop,MAGIC_D4_L4_CHAR,42,125296,5,4,-1,-1,0.01%,1,61,42.0,21,50,38.0,40,103,-1.0,-1,-1,25,2,8,4
tortoise-loop,MAGIC_D4_L4_CHAR,87,166396,5,4,-1,-1,0.02%,1,81,42.0,21,50,38.0,40,103,-1.0,-1,-1,25,2,8,4
tortoise-loop,MAGIC_D4_L4_CHAR,130,306597,5,4,-1,-1,0.02%,1,145,42.0,21,50,38.0,40,103,-1.0,-1,-1,25,2,8,4
tortoise-loop,MAGIC_D4_L4_CHAR,0,9195,5,4,-1,-1,0.01%,1,8,42.0,21,50,38.0,40,103,-1.0,-1,-1,25,2,8,4
tortoise-loop,MAGIC_D4_L4_CHAR,1,9534,5,4,-1,-1,0.01%,1,8,42.0,21,50,38.0,40,103,-1.0,-1,-1,25,2,8,4
tortoise-loop,MAGIC_D4_L4_CHAR,64,106203,5,4,-1,-1,0.01%,1,53,42.0,21,50,38.0,40,103,-1.0,-1,-1,25,2,8,4
tortoise-loop,MAGIC_D4_L4_CHAR,29,68857,5,4,-1,-1,0.01%,1,35,42.0,21,50,38.0,40,103,-1.0,-1,-1,25,2,8,4
tortoise-loop,MAGIC_D4_L4_CHAR,0,9323,5,4,-1,-1,0.01%,1,8,42.0,21,50,38.0,40,103,-1.0,-1,-1,25,2,8,4
tortoise-loop,MAGIC_D4_L4_CHAR,42,122176,5,4,-1,-1,0.01%,1,60,42.0,21,50,38.0,40,103,-1.0,-1,-1,25,2,8,4
tortoise-loop,MAGIC_D4_L4_CHAR,22,39320,5,4,-1,-1,0.01%,1,22,42.0,21,50,38.0,40,103,-1.0,-1,-1,25,2,8,4
tortoise-loop,MAGIC_D2_L2_CHAR,0,5905,3,2,-1,-1,0.01%,1,7,36.0,17,46,36.0,36,99,-1.0,-1,-1,25,2,8,2
tortoise-loop,MAGIC_D2_L2_CHAR,20,34978,3,2,-1,-1,0.01%,1,20,36.0,17,46,36.0,36,99,-1.0,-1,-1,25,2,8,2
tortoise-loop,MAGIC_D2_L2_CHAR,6,14274,3,2,-1,-1,0.01%,1,10,36.0,17,46,36.0,36,99,-1.0,-1,-1,25,2,8,2
tortoise-loop,MAGIC_D2_L2_CHAR,4,10935,3,2,-1,-1,0.01%,1,9,36.0,17,46,36.0,36,99,-1.0,-1,-1,25,2,8,2
tortoise-loop,MAGIC_D2_L2_CHAR,0,5970,3,2,-1,-1,0.01%,1,6,36.0,17,46,36.0,36,99,-1.0,-1,-1,25,2,8,2
tortoise-loop,MAGIC_D2_L2_CHAR,0,5827,3,2,-1,-1,0.01%,1,6,36.0,17,46,36.0,36,99,-1.0,-1,-1,25,2,8,2
tortoise-loop,MAGIC_D2_L2_CHAR,0,5918,3,2,-1,-1,0.01%,1,7,36.0,17,46,36.0,36,99,-1.0,-1,-1,25,2,8,2
tortoise-loop,MAGIC_D2_L2_CHAR,0,5999,3,2,-1,-1,0.01%,1,7,36.0,17,46,36.0,36,99,-1.0,-1,-1,25,2,8,2
tortoise-loop,MAGIC_D2_L2_CHAR,46,41853,3,2,-1,-1,0.01%,1,23,36.0,17,46,36.0,36,99,-1.0,-1,-1,25,2,8,2
tortoise-loop,MAGIC_D2_L2_CHAR,0,5031,3,2,-1,-1,0.01%,1,7,36.0,17,46,36.0,36,99,-1.0,-1,-1,25,2,8,2
tortoise-loop,MAGIC_D2_L2_CHAR,0,6052,3,2,-1,-1,0.01%,1,6,36.0,17,46,36.0,36,99,-1.0,-1,-1,25,2,8,2
tortoise-loop,MAGIC_D2_L2_CHAR,0,6027,3,2,-1,-1,0.01%,1,7,36.0,17,46,36.0,36,99,-1.0,-1,-1,25,2,8,2
tortoise-loop,MAGIC_D2_L2_CHAR,0,5044,3,2,-1,-1,0.01%,1,6,36.0,17,46,36.0,36,99,-1.0,-1,-1,25,2,8,2
tortoise-loop,MAGIC_D2_L2_CHAR,52,82287,3,2,-1,-1,0.01%,1,41,36.0,17,46,36.0,36,99,-1.0,-1,-1,25,2,8,2
tortoise-loop,MAGIC_D2_L2_CHAR,0,6056,3,2,-1,-1,0.01%,1,7,36.0,17,46,36.0,36,99,-1.0,-1,-1,25,2,8,2
tortoise-loop,MAGIC_D2_L2_CHAR,0,5840,3,2,-1,-1,0.01%,1,6,36.0,17,46,36.0,36,99,-1.0,-1,-1,25,2,8,2
tortoise-loop,MAGIC_D2_L2_CHAR,37,61956,3,2,-1,-1,0.01%,1,32,36.0,17,46,36.0,36,99,-1.0,-1,-1,25,2,8,2
tortoise-loop,MAGIC_D2_L2_CHAR,20,36302,3,2,-1,-1,0.01%,1,20,36.0,17,46,36.0,36,99,-1.0,-1,-1,25,2,8,2
tortoise-loop,MAGIC_D2_L2_CHAR,0,6055,3,2,-1,-1,0.01%,1,7,36.0,17,46,36.0,36,99,-1.0,-1,-1,25,2,8,2
tortoise-loop,MAGIC_D2_L2_CHAR,0,6489,3,2,-1,-1,0.01%,1,7,36.0,17,46,36.0,36,99,-1.0,-1,-1,25,2,8,2
tortoise-loop,MAGIC_D1_L1_CHAR,0,934,1,0,-1,-1,0.01%,1,4,31.0,14,44,32.0,32,97,-1.0,-1,-1,25,2,8,1
tortoise-loop,MAGIC_D1_L1_CHAR,0,934,1,0,-1,-1,0.01%,1,5,31.0,14,44,32.0,32,97,-1.0,-1,-1,25,2,8,1
tortoise-loop,MAGIC_D1_L1_CHAR,0,934,1,0,-1,-1,0.01%,1,4,31.0,14,44,32.0,32,97,-1.0,-1,-1,25,2,8,1
tortoise-loop,MAGIC_D1_L1_CHAR,0,934,1,0,-1,-1,0.01%,1,4,31.0,14,44,32.0,32,97,-1.0,-1,-1,25,2,8,1
tortoise-loop,MAGIC_D1_L1_CHAR,0,934,1,0,-1,-1,0.01%,1,4,31.0,14,44,32.0,32,97,-1.0,-1,-1,25,2,8,1
tortoise-loop,MAGIC_D1_L1_CHAR,0,1377,1,0,-1,-1,0.01%,1,5,31.0,14,44,32.0,32,97,-1.0,-1,-1,25,2,8,1
tortoise-loop,MAGIC_D1_L1_CHAR,0,934,1,0,-1,-1,0.01%,1,4,31.0,14,44,32.0,32,97,-1.0,-1,-1,25,2,8,1
tortoise-loop,MAGIC_D1_L1_CHAR,0,1377,1,0,-1,-1,0.01%,1,5,31.0,14,44,32.0,32,97,-1.0,-1,-1,25,2,8,1
tortoise-loop,MAGIC_D1_L1_CHAR,0,918,1,0,-1,-1,0.01%,1,4,31.0,14,44,32.0,32,97,-1.0,-1,-1,25,2,8,1
tortoise-loop,MAGIC_D1_L1_CHAR,0,1382,1,0,-1,-1,0.01%,1,4,31.0,14,44,32.0,32,97,-1.0,-1,-1,25,2,8,1
tortoise-loop,MAGIC_D1_L1_CHAR,0,934,1,0,-1,-1,0.01%,1,4,31.0,14,44,32.0,32,97,-1.0,-1,-1,25,2,8,1
tortoise-loop,MAGIC_D1_L1_CHAR,0,918,1,0,-1,-1,0.01%,1,4,31.0,14,44,32.0,32,97,-1.0,-1,-1,25,2,8,1
tortoise-loop,MAGIC_D1_L1_CHAR,2,1853,1,0,-1,-1,0.01%,1,5,31.0,14,44,32.0,32,97,-1.0,-1,-1,25,2,8,1
tortoise-loop,MAGIC_D1_L1_CHAR,0,902,1,0,-1,-1,0.01%,1,4,31.0,14,44,32.0,32,97,-1.0,-1,-1,25,2,8,1
tortoise-loop,MAGIC_D1_L1_CHAR,0,1377,1,0,-1,-1,0.01%,1,5,31.0,14,44,32.0,32,97,-1.0,-1,-1,25,2,8,1
tortoise-loop,MAGIC_D1_L1_CHAR,0,864,1,0,-1,-1,0.01%,1,4,31.0,14,44,32.0,32,97,-1.0,-1,-1,25,2,8,1
tortoise-loop,MAGIC_D1_L1_CHAR,0,1344,1,0,-1,-1,0.01%,1,4,31.0,14,44,32.0,32,97,-1.0,-1,-1,25,2,8,1
tortoise-loop,MAGIC_D1_L1_CHAR,0,902,1,0,-1,-1,0.01%,1,4,31.0,14,44,32.0,32,97,-1.0,-1,-1,25,2,8,1
tortoise-loop,MAGIC_D1_L1_CHAR,0,902,1,0,-1,-1,0.01%,1,4,31.0,14,44,32.0,32,97,-1.0,-1,-1,25,2,8,1
tortoise-loop,MAGIC_D1_L1_CHAR,0,1377,1,0,-1,-1,0.01%,1,4,31.0,14,44,32.0,32,97,-1.0,-1,-1,25,2,8,1
tortoise-loop,MAGIC_D7_L7_CHAR,93,553508,8,7,-1,-1,0.03%,1,264,48.0,27,56,42.0,46,109,-1.0,-1,-1,25,2,8,7
tortoise-loop,MAGIC_D7_L7_CHAR,188,1198679,8,7,-1,-1,0.03%,1,553,48.0,27,56,42.0,46,109,-1.0,-1,-1,25,2,8,7
tortoise-loop,MAGIC_D7_L7_CHAR,93,793794,8,7,-1,-1,0.04%,1,378,48.0,27,56,42.0,46,109,-1.0,-1,-1,25,2,8,7
tortoise-loop,MAGIC_D7_L7_CHAR,197,1561685,8,7,-1,-1,0.04%,1,739,48.0,27,56,42.0,46,109,-1.0,-1,-1,25,2,8,7
tortoise-loop,MAGIC_D7_L7_CHAR,0,20821,8,7,-1,-1,0.01%,1,14,48.0,27,56,42.0,46,109,-1.0,-1,-1,25,2,8,7
tortoise-loop,MAGIC_D7_L7_CHAR,44,193372,8,7,-1,-1,0.02%,1,91,48.0,27,56,42.0,46,109,-1.0,-1,-1,25,2,8,7
tortoise-loop,MAGIC_D7_L7_CHAR,87,564302,8,7,-1,-1,0.04%,1,271,48.0,27,56,42.0,46,109,-1.0,-1,-1,25,2,8,7
tortoise-loop,MAGIC_D7_L7_CHAR,392,2739065,8,7,-1,-1,0.04%,1,1290,48.0,27,56,42.0,46,109,-1.0,-1,-1,25,2,8,7
tortoise-loop,MAGIC_D7_L7_CHAR,625,3919787,8,7,-1,-1,0.04%,1,1787,48.0,27,56,42.0,46,109,-1.0,-1,-1,25,2,8,7
tortoise-loop,MAGIC_D7_L7_CHAR,1,29014,8,7,-1,-1,0.01%,1,18,48.0,27,56,42.0,46,109,-1.0,-1,-1,25,2,8,7
tortoise-loop,MAGIC_D7_L7_CHAR,0,20215,8,7,-1,-1,0.01%,1,14,48.0,27,56,42.0,46,109,-1.0,-1,-1,25,2,8,7
tortoise-loop,MAGIC_D7_L7_CHAR,19,102700,8,7,-1,-1,0.01%,1,51,48.0,27,56,42.0,46,109,-1.0,-1,-1,25,2,8,7
tortoise-loop,MAGIC_D7_L7_CHAR,84,746085,8,7,-1,-1,0.04%,1,355,48.0,27,56,42.0,46,109,-1.0,-1,-1,25,2,8,7
tortoise-loop,MAGIC_D7_L7_CHAR,191,1012853,8,7,-1,-1,0.03%,1,463,48.0,27,56,42.0,46,109,-1.0,-1,-1,25,2,8,7
tortoise-loop,MAGIC_D7_L7_CHAR,184,1323725,8,7,-1,-1,0.03%,1,605,48.0,27,56,42.0,46,109,-1.0,-1,-1,25,2,8,7
tortoise-loop,MAGIC_D7_L7_CHAR,201,1294343,8,7,-1,-1,0.03%,1,614,48.0,27,56,42.0,46,109,-1.0,-1,-1,25,2,8,7
tortoise-loop,MAGIC_D7_L7_CHAR,41,176264,8,7,-1,-1,0.03%,1,84,48.0,27,56,42.0,46,109,-1.0,-1,-1,25,2,8,7
tortoise-loop,MAGIC_D7_L7_CHAR,0,21222,8,7,-1,-1,0.01%,1,14,48.0,27,56,42.0,46,109,-1.0,-1,-1,25,2,8,7
tortoise-loop,MAGIC_D7_L7_CHAR,180,1082265,8,7,-1,-1,0.03%,1,514,48.0,27,56,42.0,46,109,-1.0,-1,-1,25,2,8,7
tortoise-loop,MAGIC_D7_L7_CHAR,85,482270,8,7,-1,-1,0.03%,1,231,48.0,27,56,42.0,46,109,-1.0,-1,-1,25,2,8,7
tortoise-loop,MAGIC_D8_L8_CHAR,67,630034,9,8,-1,-1,0.04%,1,304,50.0,29,58,43.0,48,111,-1.0,-1,-1,25,2,8,8
tortoise-loop,MAGIC_D8_L8_CHAR,0,26167,9,8,-1,-1,0.01%,1,17,50.0,29,58,43.0,48,111,-1.0,-1,-1,25,2,8,8
tortoise-loop,MAGIC_D8_L8_CHAR,263,2574485,9,8,-1,-1,0.04%,1,1222,50.0,29,58,43.0,48,111,-1.0,-1,-1,25,2,8,8
tortoise-loop,MAGIC_D8_L8_CHAR,474,4122089,9,8,-1,-1,0.04%,1,1953,50.0,29,58,43.0,48,111,-1.0,-1,-1,25,2,8,8
tortoise-loop,MAGIC_D8_L8_CHAR,218,2653249,9,8,-1,-1,0.04%,1,1253,50.0,29,58,43.0,48,111,-1.0,-1,-1,25,2,8,8
tortoise-loop,MAGIC_D8_L8_CHAR,112,722179,9,8,-1,-1,0.03%,1,342,50.0,29,58,43.0,48,111,-1.0,-1,-1,25,2,8,8
tortoise-loop,MAGIC_D8_L8_CHAR,261,2616637,9,8,-1,-1,0.04%,1,1238,50.0,29,58,43.0,48,111,-1.0,-1,-1,25,2,8,8
tortoise-loop,MAGIC_D8_L8_CHAR,0,25704,9,8,-1,-1,0.01%,1,16,50.0,29,58,43.0,48,111,-1.0,-1,-1,25,2,8,8
tortoise-loop,MAGIC_D8_L8_CHAR,0,26593,9,8,-1,-1,0.01%,1,16,50.0,29,58,43.0,48,111,-1.0,-1,-1,25,2,8,8
tortoise-loop,MAGIC_D9_L9_CHAR,6,113793,10,9,-1,-1,0.01%,1,54,51.0,31,60,44.0,50,113,-1.0,-1,-1,25,2,8,9
tortoise-loop,MAGIC_D9_L9_CHAR,437,6366276,10,9,-1,-1,0.04%,1,2837,51.0,31,60,44.0,50,113,-1.0,-1,-1,25,2,8,9
tortoise-loop,MAGIC_D9_L9_CHAR,248,1940163,10,9,-1,-1,0.04%,1,868,51.0,31,60,44.0,50,113,-1.0,-1,-1,25,2,8,9
tortoise-loop,MAGIC_D9_L9_CHAR,58,594973,10,9,-1,-1,0.04%,1,265,51.0,31,60,44.0,50,113,-1.0,-1,-1,25,2,8,9
tortoise-loop,MAGIC_D9_L9_CHAR,209,1828586,10,9,-1,-1,0.04%,1,814,51.0,31,60,44.0,50,113,-1.0,-1,-1,25,2,8,9
tortoise-loop,MAGIC_D9_L9_CHAR,4,90104,10,9,-1,-1,0.01%,1,44,51.0,31,60,44.0,50,113,-1.0,-1,-1,25,2,8,9
tortoise-loop,MAGIC_D9_L9_CHAR,265,1259101,10,9,-1,-1,0.04%,1,559,51.0,31,60,44.0,50,113,-1.0,-1,-1,25,2,8,9
tortoise-loop,MAGIC_D9_L9_CHAR,190,2029449,10,9,-1,-1,0.04%,1,906,51.0,31,60,44.0,50,113,-1.0,-1,-1,25,2,8,9
tortoise-loop,MAGIC_D9_L9_CHAR,213,1379998,10,9,-1,-1,0.04%,1,633,51.0,31,60,44.0,50,113,-1.0,-1,-1,25,2,8,9
tortoise-loop,MAGIC_D9_L9_CHAR,241,2405555,10,9,-1,-1,0.04%,1,1073,51.0,31,60,44.0,50,113,-1.0,-1,-1,25,2,8,9
tortoise-loop,MAGIC_D9_L9_CHAR,213,1856229,10,9,-1,-1,0.04%,1,859,51.0,31,60,44.0,50,113,-1.0,-1,-1,25,2,8,9
tortoise-loop,MAGIC_D9_L9_CHAR,43,441370,10,9,-1,-1,0.04%,1,205,51.0,31,60,44.0,50,113,-1.0,-1,-1,25,2,8,9
tortoise-loop,MAGIC_D9_L9_CHAR,274,2390648,10,9,-1,-1,0.04%,1,1069,51.0,31,60,44.0,50,113,-1.0,-1,-1,25,2,8,9
