fuzzer,program,cycles,execs,paths_total,paths_found,total_edges,edges_found,bitmap_cvg,crashes,duration,region_rate,region_cov,region_tol,line_rate,line_cov,line_tol,branch_rate,branch_cov,branch_tol,function_rate,function_cov,function_tol,D,S
tortoise-loop,MAGIC_D1_L31_CHAR,0,929,2,1,-1,-1,0.01%,1,5,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,31
tortoise-loop,MAGIC_D1_L31_CHAR,0,1351,2,1,-1,-1,0.01%,1,5,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,31
tortoise-loop,MAGIC_D1_L31_CHAR,3,10061,2,1,-1,-1,0.01%,1,9,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,31
tortoise-loop,MAGIC_D1_L31_CHAR,0,4962,2,1,-1,-1,0.01%,1,6,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,31
tortoise-loop,MAGIC_D1_L31_CHAR,0,4979,2,1,-1,-1,0.01%,1,6,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,31
tortoise-loop,MAGIC_D1_L31_CHAR,0,8238,2,1,-1,-1,0.01%,1,8,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,31
tortoise-loop,MAGIC_D1_L31_CHAR,3,10160,2,1,-1,-1,0.01%,1,9,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,31
tortoise-loop,MAGIC_D1_L31_CHAR,0,5130,2,1,-1,-1,0.01%,1,6,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,31
tortoise-loop,MAGIC_D1_L31_CHAR,0,7629,2,1,-1,-1,0.01%,1,7,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,31
tortoise-loop,MAGIC_D1_L31_CHAR,0,4994,2,1,-1,-1,0.01%,1,6,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,31
tortoise-loop,MAGIC_D1_L31_CHAR,1,10102,2,1,-1,-1,0.01%,1,9,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,31
tortoise-loop,MAGIC_D1_L31_CHAR,0,5080,2,1,-1,-1,0.01%,1,6,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,31
tortoise-loop,MAGIC_D1_L31_CHAR,0,8659,2,1,-1,-1,0.01%,1,8,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,31
tortoise-loop,MAGIC_D1_L31_CHAR,0,3076,2,1,-1,-1,0.01%,1,5,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,31
tortoise-loop,MAGIC_D1_L31_CHAR,21,18479,2,1,-1,-1,0.01%,1,13,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,31
tortoise-loop,MAGIC_D1_L31_CHAR,19,18020,2,1,-1,-1,0.01%,1,12,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,31
tortoise-loop,MAGIC_D1_L31_CHAR,0,1417,2,1,-1,-1,0.01%,1,5,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,31
tortoise-loop,MAGIC_D1_L21_CHAR,0,2260,2,1,-1,-1,0.01%,1,5,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,21
tortoise-loop,MAGIC_D1_L21_CHAR,0,1831,2,1,-1,-1,0.01%,1,5,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,21
tortoise-loop,MAGIC_D1_L21_CHAR,0,1797,2,1,-1,-1,0.01%,1,5,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,21
tortoise-loop,MAGIC_D1_L21_CHAR,20,17148,2,1,-1,-1,0.01%,1,12,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,21
tortoise-loop,MAGIC_D1_L21_CHAR,4,8551,2,1,-1,-1,0.01%,1,8,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,21
tortoise-loop,MAGIC_D1_L21_CHAR,0,2678,2,1,-1,-1,0.01%,1,5,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,21
tortoise-loop,MAGIC_D1_L21_CHAR,0,929,2,1,-1,-1,0.01%,1,5,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,21
tortoise-loop,MAGIC_D1_L21_CHAR,17,16601,2,1,-1,-1,0.01%,1,12,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,21
tortoise-loop,MAGIC_D1_L21_CHAR,0,1831,2,1,-1,-1,0.01%,1,5,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,21
tortoise-loop,MAGIC_D1_L21_CHAR,0,4088,2,1,-1,-1,0.01%,1,6,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,21
tortoise-loop,MAGIC_D1_L21_CHAR,0,6929,2,1,-1,-1,0.01%,1,7,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,21
tortoise-loop,MAGIC_D1_L21_CHAR,0,2333,2,1,-1,-1,0.01%,1,5,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,21
tortoise-loop,MAGIC_D1_L21_CHAR,0,2744,2,1,-1,-1,0.01%,1,6,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,21
tortoise-loop,MAGIC_D1_L21_CHAR,10,12332,2,1,-1,-1,0.01%,1,10,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,21
tortoise-loop,MAGIC_D1_L21_CHAR,0,1351,2,1,-1,-1,0.01%,1,5,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,21
tortoise-loop,MAGIC_D1_L21_CHAR,0,4085,2,1,-1,-1,0.01%,1,6,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,21
tortoise-loop,MAGIC_D1_L21_CHAR,20,16641,2,1,-1,-1,0.01%,1,11,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,21
tortoise-loop,MAGIC_D1_L21_CHAR,0,1831,2,1,-1,-1,0.01%,1,4,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,21
tortoise-loop,MAGIC_D1_L21_CHAR,0,4132,2,1,-1,-1,0.01%,1,6,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,21
tortoise-loop,MAGIC_D1_L21_CHAR,27,20697,2,1,-1,-1,0.01%,1,14,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,21
tortoise-loop,MAGIC_D1_L51_CHAR,2,15889,2,1,-1,-1,0.01%,1,11,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,51
tortoise-loop,MAGIC_D1_L51_CHAR,10,17114,2,1,-1,-1,0.01%,1,11,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,51
tortoise-loop,MAGIC_D1_L51_CHAR,0,6745,2,1,-1,-1,0.01%,1,8,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,51
tortoise-loop,MAGIC_D1_L51_CHAR,0,6347,2,1,-1,-1,0.01%,1,7,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,51
tortoise-loop,MAGIC_D1_L51_CHAR,0,6742,2,1,-1,-1,0.01%,1,7,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,51
tortoise-loop,MAGIC_D1_L51_CHAR,90,59225,2,1,-1,-1,0.01%,1,31,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,51
tortoise-loop,MAGIC_D1_L51_CHAR,0,11036,2,1,-1,-1,0.01%,1,9,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,51
tortoise-loop,MAGIC_D1_L51_CHAR,0,11899,2,1,-1,-1,0.01%,1,10,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,51
tortoise-loop,MAGIC_D1_L51_CHAR,11,17419,2,1,-1,-1,0.01%,1,12,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,51
tortoise-loop,MAGIC_D1_L51_CHAR,20,23792,2,1,-1,-1,0.01%,1,15,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,51
tortoise-loop,MAGIC_D1_L51_CHAR,3,12914,2,1,-1,-1,0.01%,1,9,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,51
tortoise-loop,MAGIC_D1_L51_CHAR,0,6783,2,1,-1,-1,0.01%,1,7,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,51
tortoise-loop,MAGIC_D1_L51_CHAR,0,11008,2,1,-1,-1,0.01%,1,9,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,51
tortoise-loop,MAGIC_D1_L51_CHAR,0,6721,2,1,-1,-1,0.01%,1,7,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,51
tortoise-loop,MAGIC_D1_L51_CHAR,0,929,2,1,-1,-1,0.01%,1,4,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,51
tortoise-loop,MAGIC_D1_L51_CHAR,0,11499,2,1,-1,-1,0.01%,1,9,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,51
tortoise-loop,MAGIC_D1_L51_CHAR,20,23527,2,1,-1,-1,0.01%,1,14,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,51
tortoise-loop,MAGIC_D1_L51_CHAR,19,21618,2,1,-1,-1,0.01%,1,14,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,51
tortoise-loop,MAGIC_D1_L51_CHAR,8,16617,2,1,-1,-1,0.01%,1,12,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,51
tortoise-loop,MAGIC_D1_L51_CHAR,33,29519,2,1,-1,-1,0.01%,1,17,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,51
tortoise-loop,MAGIC_D1_L41_CHAR,10,14997,2,1,-1,-1,0.01%,1,10,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,41
tortoise-loop,MAGIC_D1_L41_CHAR,0,3211,2,1,-1,-1,0.01%,1,6,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,41
tortoise-loop,MAGIC_D1_L41_CHAR,0,5635,2,1,-1,-1,0.01%,1,6,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,41
tortoise-loop,MAGIC_D1_L41_CHAR,0,3168,2,1,-1,-1,0.01%,1,5,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,41
tortoise-loop,MAGIC_D1_L41_CHAR,0,9990,2,1,-1,-1,0.01%,1,8,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,41
tortoise-loop,MAGIC_D1_L41_CHAR,16,18842,2,1,-1,-1,0.01%,1,13,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,41
tortoise-loop,MAGIC_D1_L41_CHAR,1,10438,2,1,-1,-1,0.01%,1,9,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,41
tortoise-loop,MAGIC_D1_L41_CHAR,0,3600,2,1,-1,-1,0.01%,1,6,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,41
tortoise-loop,MAGIC_D1_L41_CHAR,0,3194,2,1,-1,-1,0.01%,1,5,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,41
tortoise-loop,MAGIC_D1_L41_CHAR,0,481,2,1,-1,-1,0.01%,1,4,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,41
tortoise-loop,MAGIC_D1_L41_CHAR,0,9649,2,1,-1,-1,0.01%,1,9,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,41
tortoise-loop,MAGIC_D1_L41_CHAR,12,17183,2,1,-1,-1,0.01%,1,12,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,41
tortoise-loop,MAGIC_D1_L41_CHAR,0,5880,2,1,-1,-1,0.01%,1,7,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,41
tortoise-loop,MAGIC_D1_L41_CHAR,7,13335,2,1,-1,-1,0.01%,1,10,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,41
tortoise-loop,MAGIC_D1_L41_CHAR,26,22835,2,1,-1,-1,0.01%,1,14,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,41
tortoise-loop,MAGIC_D1_L41_CHAR,0,5866,2,1,-1,-1,0.01%,1,7,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,41
tortoise-loop,MAGIC_D1_L41_CHAR,0,6014,2,1,-1,-1,0.01%,1,7,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,41
tortoise-loop,MAGIC_D1_L41_CHAR,3,10864,2,1,-1,-1,0.01%,1,9,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,41
tortoise-loop,MAGIC_D1_L41_CHAR,14,16915,2,1,-1,-1,0.01%,1,12,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,41
tortoise-loop,MAGIC_D1_L41_CHAR,0,3211,2,1,-1,-1,0.01%,1,5,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,41
tortoise-loop,MAGIC_D1_L101_CHAR,3,26561,2,1,-1,-1,0.01%,1,16,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,101
tortoise-loop,MAGIC_D1_L101_CHAR,18,29274,2,1,-1,-1,0.01%,1,17,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,101
tortoise-loop,MAGIC_D1_L101_CHAR,22,35072,2,1,-1,-1,0.01%,1,20,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,101
tortoise-loop,MAGIC_D1_L101_CHAR,117,83173,2,1,-1,-1,0.01%,1,42,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,101
tortoise-loop,MAGIC_D1_L101_CHAR,4,22394,2,1,-1,-1,0.01%,1,14,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,101
tortoise-loop,MAGIC_D1_L101_CHAR,3,24119,2,1,-1,-1,0.01%,1,15,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,101
tortoise-loop,MAGIC_D1_L101_CHAR,0,11001,2,1,-1,-1,0.01%,1,9,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,101
tortoise-loop,MAGIC_D1_L101_CHAR,0,20884,2,1,-1,-1,0.01%,1,14,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,101
tortoise-loop,MAGIC_D1_L101_CHAR,4,4927,2,1,-1,-1,0.01%,1,6,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,101
tortoise-loop,MAGIC_D1_L101_CHAR,1,4516,2,1,-1,-1,0.01%,1,6,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,101
tortoise-loop,MAGIC_D1_L101_CHAR,2,4532,2,1,-1,-1,0.01%,1,6,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,101
tortoise-loop,MAGIC_D1_L101_CHAR,94,71133,2,1,-1,-1,0.01%,1,37,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,101
tortoise-loop,MAGIC_D1_L101_CHAR,0,19957,2,1,-1,-1,0.01%,1,13,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,101
tortoise-loop,MAGIC_D1_L101_CHAR,6,25654,2,1,-1,-1,0.01%,1,16,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,101
tortoise-loop,MAGIC_D1_L101_CHAR,0,10889,2,1,-1,-1,0.01%,1,9,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,101
tortoise-loop,MAGIC_D1_L101_CHAR,42,62593,2,1,-1,-1,0.01%,1,33,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,101
tortoise-loop,MAGIC_D1_L101_CHAR,28,37866,2,1,-1,-1,0.01%,1,22,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,101
tortoise-loop,MAGIC_D1_L101_CHAR,41,43523,2,1,-1,-1,0.01%,1,23,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,101
tortoise-loop,MAGIC_D1_L101_CHAR,10,26111,2,1,-1,-1,0.01%,1,16,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,101
tortoise-loop,MAGIC_D1_L101_CHAR,23,31121,2,1,-1,-1,0.01%,1,18,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,101
tortoise-loop,MAGIC_D1_L11_CHAR,1,5361,2,1,-1,-1,0.01%,1,6,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,11
tortoise-loop,MAGIC_D1_L11_CHAR,0,3277,2,1,-1,-1,0.01%,1,6,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,11
tortoise-loop,MAGIC_D1_L11_CHAR,20,15368,2,1,-1,-1,0.01%,1,11,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,11
tortoise-loop,MAGIC_D1_L11_CHAR,2,5824,2,1,-1,-1,0.01%,1,7,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,11
tortoise-loop,MAGIC_D1_L11_CHAR,0,481,2,1,-1,-1,0.01%,1,4,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,11
tortoise-loop,MAGIC_D1_L11_CHAR,0,2278,2,1,-1,-1,0.01%,1,5,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,11
tortoise-loop,MAGIC_D1_L11_CHAR,2,6421,2,1,-1,-1,0.01%,1,7,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,11
tortoise-loop,MAGIC_D1_L11_CHAR,0,4992,2,1,-1,-1,0.01%,1,6,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,11
tortoise-loop,MAGIC_D1_L11_CHAR,0,1384,2,1,-1,-1,0.01%,1,4,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,11
tortoise-loop,MAGIC_D1_L11_CHAR,1,5384,2,1,-1,-1,0.01%,1,7,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,11
tortoise-loop,MAGIC_D1_L11_CHAR,0,4944,2,1,-1,-1,0.01%,1,6,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,11
tortoise-loop,MAGIC_D1_L11_CHAR,0,897,2,1,-1,-1,0.01%,1,4,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,11
tortoise-loop,MAGIC_D1_L11_CHAR,0,481,2,1,-1,-1,0.01%,1,5,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,11
tortoise-loop,MAGIC_D1_L11_CHAR,0,2220,2,1,-1,-1,0.01%,1,5,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,11
tortoise-loop,MAGIC_D1_L11_CHAR,0,1357,2,1,-1,-1,0.01%,1,5,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,11
tortoise-loop,MAGIC_D1_L11_CHAR,0,1831,2,1,-1,-1,0.01%,1,5,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,11
tortoise-loop,MAGIC_D1_L11_CHAR,2,6015,2,1,-1,-1,0.01%,1,6,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,11
tortoise-loop,MAGIC_D1_L11_CHAR,0,2358,2,1,-1,-1,0.01%,1,5,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,11
tortoise-loop,MAGIC_D1_L11_CHAR,0,1351,2,1,-1,-1,0.01%,1,5,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,11
tortoise-loop,MAGIC_D1_L11_CHAR,0,2748,2,1,-1,-1,0.01%,1,6,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,11
tortoise-loop,MAGIC_D1_L71_CHAR,20,25928,2,1,-1,-1,0.01%,1,16,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,71
tortoise-loop,MAGIC_D1_L71_CHAR,0,8172,2,1,-1,-1,0.01%,1,8,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,71
tortoise-loop,MAGIC_D1_L71_CHAR,0,1831,2,1,-1,-1,0.01%,1,5,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,71
tortoise-loop,MAGIC_D1_L71_CHAR,10,20278,2,1,-1,-1,0.01%,1,13,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,71
tortoise-loop,MAGIC_D1_L71_CHAR,1,16483,2,1,-1,-1,0.01%,1,12,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,71
tortoise-loop,MAGIC_D1_L71_CHAR,10,20277,2,1,-1,-1,0.01%,1,13,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,71
tortoise-loop,MAGIC_D1_L71_CHAR,31,32133,2,1,-1,-1,0.01%,1,19,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,71
tortoise-loop,MAGIC_D1_L71_CHAR,0,4144,2,1,-1,-1,0.01%,1,6,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,71
tortoise-loop,MAGIC_D1_L71_CHAR,0,8256,2,1,-1,-1,0.01%,1,8,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,71
tortoise-loop,MAGIC_D1_L71_CHAR,0,16025,2,1,-1,-1,0.01%,1,11,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,71
tortoise-loop,MAGIC_D1_L71_CHAR,46,38941,2,1,-1,-1,0.01%,1,21,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,71
tortoise-loop,MAGIC_D1_L71_CHAR,24,26651,2,1,-1,-1,0.01%,1,16,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,71
tortoise-loop,MAGIC_D1_L71_CHAR,0,8350,2,1,-1,-1,0.01%,1,8,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,71
tortoise-loop,MAGIC_D1_L71_CHAR,11,21235,2,1,-1,-1,0.01%,1,13,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,71
tortoise-loop,MAGIC_D1_L71_CHAR,46,39088,2,1,-1,-1,0.01%,1,21,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,71
tortoise-loop,MAGIC_D1_L71_CHAR,0,4175,2,1,-1,-1,0.01%,1,6,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,71
tortoise-loop,MAGIC_D1_L71_CHAR,0,8343,2,1,-1,-1,0.01%,1,8,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,71
tortoise-loop,MAGIC_D1_L71_CHAR,37,34916,2,1,-1,-1,0.01%,1,20,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,71
tortoise-loop,MAGIC_D1_L71_CHAR,25,27364,2,1,-1,-1,0.01%,1,17,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,71
tortoise-loop,MAGIC_D1_L71_CHAR,63,46554,2,1,-1,-1,0.01%,1,25,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,71
tortoise-loop,MAGIC_D1_L1_CHAR,0,473,1,0,-1,-1,0.01%,1,4,31,14,44,32,32,97,-1,-1,-1,25,2,8,1,1
tortoise-loop,MAGIC_D1_L1_CHAR,0,473,1,0,-1,-1,0.01%,1,5,31,14,44,32,32,97,-1,-1,-1,25,2,8,1,1
tortoise-loop,MAGIC_D1_L1_CHAR,0,441,1,0,-1,-1,0.01%,1,4,31,14,44,32,32,97,-1,-1,-1,25,2,8,1,1
tortoise-loop,MAGIC_D1_L1_CHAR,0,479,1,0,-1,-1,0.01%,1,5,31,14,44,32,32,97,-1,-1,-1,25,2,8,1,1
tortoise-loop,MAGIC_D1_L1_CHAR,0,441,1,0,-1,-1,0.01%,1,4,31,14,44,32,32,97,-1,-1,-1,25,2,8,1,1
tortoise-loop,MAGIC_D1_L1_CHAR,0,473,1,0,-1,-1,0.01%,1,4,31,14,44,32,32,97,-1,-1,-1,25,2,8,1,1
tortoise-loop,MAGIC_D1_L1_CHAR,0,479,1,0,-1,-1,0.01%,1,4,31,14,44,32,32,97,-1,-1,-1,25,2,8,1,1
tortoise-loop,MAGIC_D1_L1_CHAR,0,453,1,0,-1,-1,0.01%,1,4,31,14,44,32,32,97,-1,-1,-1,25,2,8,1,1
tortoise-loop,MAGIC_D1_L1_CHAR,0,473,1,0,-1,-1,0.01%,1,4,31,14,44,32,32,97,-1,-1,-1,25,2,8,1,1
tortoise-loop,MAGIC_D1_L1_CHAR,0,473,1,0,-1,-1,0.01%,1,4,31,14,44,32,32,97,-1,-1,-1,25,2,8,1,1
tortoise-loop,MAGIC_D1_L1_CHAR,0,473,1,0,-1,-1,0.01%,1,4,31,14,44,32,32,97,-1,-1,-1,25,2,8,1,1
tortoise-loop,MAGIC_D1_L1_CHAR,0,463,1,0,-1,-1,0.01%,1,4,31,14,44,32,32,97,-1,-1,-1,25,2,8,1,1
