fuzzer,program,cycles,execs,paths_total,paths_found,total_edges,edges_found,bitmap_cvg,crashes,duration,region_rate,region_cov,region_tol,line_rate,line_cov,line_tol,branch_rate,branch_cov,branch_tol,function_rate,function_cov,function_tol,L
honggfuzz,MAGIC_D1_L6_STR,64,227,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,6
honggfuzz,MAGIC_D1_L6_STR,174,233,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,6
honggfuzz,MAGIC_D1_L6_STR,517,233,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,6
honggfuzz,MAGIC_D1_L6_STR,340,233,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,6
honggfuzz,MAGIC_D1_L6_STR,101,231,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,6
honggfuzz,MAGIC_D1_L6_STR,256,233,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,6
honggfuzz,MAGIC_D1_L6_STR,630,233,-1,-1,-1,-1,-1,1,2,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,6
honggfuzz,MAGIC_D1_L6_STR,177,233,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,6
honggfuzz,MAGIC_D1_L6_STR,314,233,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,6
honggfuzz,MAGIC_D1_L6_STR,304,233,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,6
honggfuzz,MAGIC_D1_L6_STR,100,231,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,6
honggfuzz,MAGIC_D1_L6_STR,132,232,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,6
honggfuzz,MAGIC_D1_L6_STR,184,233,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,6
honggfuzz,MAGIC_D1_L6_STR,527,233,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,6
honggfuzz,MAGIC_D1_L6_STR,291,233,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,6
honggfuzz,MAGIC_D1_L6_STR,119,231,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,6
honggfuzz,MAGIC_D1_L10_STR,354,237,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,10
honggfuzz,MAGIC_D1_L10_STR,224,237,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,10
honggfuzz,MAGIC_D1_L10_STR,208,237,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,10
honggfuzz,MAGIC_D1_L10_STR,565,237,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,10
honggfuzz,MAGIC_D1_L10_STR,383,237,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,10
honggfuzz,MAGIC_D1_L10_STR,74,234,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,10
honggfuzz,MAGIC_D1_L10_STR,149,236,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,10
honggfuzz,MAGIC_D1_L10_STR,411,237,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,10
honggfuzz,MAGIC_D1_L10_STR,364,237,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,10
honggfuzz,MAGIC_D1_L10_STR,169,237,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,10
honggfuzz,MAGIC_D1_L10_STR,400,237,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,10
honggfuzz,MAGIC_D1_L10_STR,119,236,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,10
honggfuzz,MAGIC_D1_L10_STR,51,231,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,10
honggfuzz,MAGIC_D1_L10_STR,382,237,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,10
honggfuzz,MAGIC_D1_L10_STR,503,237,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,10
honggfuzz,MAGIC_D1_L10_STR,166,237,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,10
honggfuzz,MAGIC_D1_L10_STR,254,237,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,10
honggfuzz,MAGIC_D1_L10_STR,595,237,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,10
honggfuzz,MAGIC_D1_L10_STR,210,237,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,10
honggfuzz,MAGIC_D1_L10_STR,192,237,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,10
honggfuzz,MAGIC_D1_L7_STR,160,234,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,7
honggfuzz,MAGIC_D1_L7_STR,76,230,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,7
honggfuzz,MAGIC_D1_L7_STR,38,227,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,7
honggfuzz,MAGIC_D1_L7_STR,320,234,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,7
honggfuzz,MAGIC_D1_L7_STR,89,230,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,7
honggfuzz,MAGIC_D1_L7_STR,331,234,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,7
honggfuzz,MAGIC_D1_L7_STR,211,234,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,7
honggfuzz,MAGIC_D1_L7_STR,277,234,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,7
honggfuzz,MAGIC_D1_L7_STR,656,234,-1,-1,-1,-1,-1,1,2,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,7
honggfuzz,MAGIC_D1_L7_STR,167,234,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,7
honggfuzz,MAGIC_D1_L7_STR,77,231,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,7
honggfuzz,MAGIC_D1_L7_STR,396,234,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,7
honggfuzz,MAGIC_D1_L7_STR,52,227,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,7
honggfuzz,MAGIC_D1_L7_STR,357,234,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,7
honggfuzz,MAGIC_D1_L7_STR,67,230,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,7
honggfuzz,MAGIC_D1_L7_STR,402,234,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,7
honggfuzz,MAGIC_D1_L7_STR,366,234,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,7
honggfuzz,MAGIC_D1_L7_STR,104,232,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,7
honggfuzz,MAGIC_D1_L7_STR,185,233,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,7
honggfuzz,MAGIC_D1_L7_STR,8,215,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,7
honggfuzz,MAGIC_D1_L2_STR,273,228,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,2
honggfuzz,MAGIC_D1_L2_STR,69,226,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,2
honggfuzz,MAGIC_D1_L2_STR,153,227,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,2
honggfuzz,MAGIC_D1_L2_STR,210,227,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,2
honggfuzz,MAGIC_D1_L2_STR,129,227,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,2
honggfuzz,MAGIC_D1_L2_STR,5,205,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,2
honggfuzz,MAGIC_D1_L2_STR,170,228,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,2
honggfuzz,MAGIC_D1_L2_STR,16,217,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,2
honggfuzz,MAGIC_D1_L2_STR,172,227,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,2
honggfuzz,MAGIC_D1_L2_STR,115,227,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,2
honggfuzz,MAGIC_D1_L2_STR,92,227,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,2
honggfuzz,MAGIC_D1_L2_STR,223,227,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,2
honggfuzz,MAGIC_D1_L2_STR,157,228,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,2
honggfuzz,MAGIC_D1_L2_STR,179,228,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,2
honggfuzz,MAGIC_D1_L2_STR,168,227,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,2
honggfuzz,MAGIC_D1_L2_STR,179,227,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,2
honggfuzz,MAGIC_D1_L2_STR,144,227,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,2
honggfuzz,MAGIC_D1_L2_STR,111,227,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,2
honggfuzz,MAGIC_D1_L2_STR,46,223,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,2
honggfuzz,MAGIC_D1_L2_STR,118,228,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,2
honggfuzz,MAGIC_D1_L9_STR,805,236,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,9
honggfuzz,MAGIC_D1_L9_STR,393,236,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,9
honggfuzz,MAGIC_D1_L9_STR,614,236,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,9
honggfuzz,MAGIC_D1_L9_STR,346,236,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,9
honggfuzz,MAGIC_D1_L9_STR,172,236,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,9
honggfuzz,MAGIC_D1_L9_STR,386,236,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,9
honggfuzz,MAGIC_D1_L9_STR,109,234,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,9
honggfuzz,MAGIC_D1_L9_STR,296,236,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,9
honggfuzz,MAGIC_D1_L9_STR,330,236,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,9
honggfuzz,MAGIC_D1_L9_STR,225,236,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,9
honggfuzz,MAGIC_D1_L9_STR,583,236,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,9
honggfuzz,MAGIC_D1_L9_STR,318,236,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,9
honggfuzz,MAGIC_D1_L9_STR,197,236,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,9
honggfuzz,MAGIC_D1_L9_STR,239,236,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,9
honggfuzz,MAGIC_D1_L9_STR,49,229,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,9
honggfuzz,MAGIC_D1_L9_STR,162,235,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,9
honggfuzz,MAGIC_D1_L9_STR,47,229,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,9
honggfuzz,MAGIC_D1_L9_STR,302,236,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,9
honggfuzz,MAGIC_D1_L9_STR,268,236,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,9
honggfuzz,MAGIC_D1_L9_STR,219,236,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,9
honggfuzz,MAGIC_D1_L8_STR,110,234,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,8
honggfuzz,MAGIC_D1_L8_STR,59,228,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,8
honggfuzz,MAGIC_D1_L8_STR,241,235,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,8
honggfuzz,MAGIC_D1_L8_STR,91,233,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,8
honggfuzz,MAGIC_D1_L8_STR,189,235,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,8
honggfuzz,MAGIC_D1_L8_STR,133,234,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,8
honggfuzz,MAGIC_D1_L8_STR,716,235,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,8
honggfuzz,MAGIC_D1_L8_STR,58,229,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,8
honggfuzz,MAGIC_D1_L8_STR,483,235,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,8
honggfuzz,MAGIC_D1_L8_STR,451,235,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,8
honggfuzz,MAGIC_D1_L8_STR,287,235,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,8
honggfuzz,MAGIC_D1_L8_STR,69,231,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,8
honggfuzz,MAGIC_D1_L8_STR,404,235,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,8
honggfuzz,MAGIC_D1_L8_STR,75,233,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,8
honggfuzz,MAGIC_D1_L8_STR,221,235,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,8
honggfuzz,MAGIC_D1_L8_STR,266,234,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,8
honggfuzz,MAGIC_D1_L8_STR,92,233,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,8
honggfuzz,MAGIC_D1_L8_STR,116,233,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,8
