fuzzer,program,cycles,execs,paths_total,paths_found,total_edges,edges_found,bitmap_cvg,crashes,duration,region_rate,region_cov,region_tol,line_rate,line_cov,line_tol,branch_rate,branch_cov,branch_tol,function_rate,function_cov,function_tol,C,D
tortoise-loop,CHECKSUM_L16_C1_D1,2,6821,2,1,-1,-1,0.01%,1,7,52.0,23,44,50.0,49,97,-1.0,-1,-1,50,4,8,1,1
tortoise-loop,CHECKSUM_L16_C1_D1,5,11875,2,1,-1,-1,0.01%,1,9,52.0,23,44,50.0,49,97,-1.0,-1,-1,50,4,8,1,1
tortoise-loop,CHECKSUM_L16_C1_D1,5,11356,2,1,-1,-1,0.01%,1,9,52.0,23,44,50.0,49,97,-1.0,-1,-1,50,4,8,1,1
tortoise-loop,CHECKSUM_L16_C1_D1,0,5705,2,1,-1,-1,0.01%,1,7,52.0,23,44,50.0,49,97,-1.0,-1,-1,50,4,8,1,1
tortoise-loop,CHECKSUM_L16_C1_D1,0,1362,2,1,-1,-1,0.01%,1,4,52.0,23,44,50.0,49,97,-1.0,-1,-1,50,4,8,1,1
tortoise-loop,CHECKSUM_L16_C1_D1,0,910,2,1,-1,-1,0.01%,1,5,52.0,23,44,50.0,49,97,-1.0,-1,-1,50,4,8,1,1
tortoise-loop,CHECKSUM_L70_C1_D8,14,108525,9,8,-1,-1,0.01%,1,54,91.0,53,58,81.0,90,111,-1.0,-1,-1,100,8,8,1,8
tortoise-loop,CHECKSUM_L70_C1_D8,197,331435,6,5,-1,-1,0.02%,1,157,81.0,47,58,75.0,84,111,-1.0,-1,-1,100,8,8,1,8
tortoise-loop,CHECKSUM_L70_C1_D8,162,304492,8,7,-1,-1,0.02%,1,144,91.0,53,58,81.0,90,111,-1.0,-1,-1,100,8,8,1,8
tortoise-loop,CHECKSUM_L70_C1_D8,8,43951,7,6,-1,-1,0.01%,1,24,91.0,53,58,81.0,90,111,-1.0,-1,-1,100,8,8,1,8
tortoise-loop,CHECKSUM_L70_C1_D8,18,59032,8,7,-1,-1,0.01%,1,31,91.0,53,58,81.0,90,111,-1.0,-1,-1,100,8,8,1,8
tortoise-loop,CHECKSUM_L70_C1_D8,1,49463,9,8,-1,-1,0.01%,1,27,91.0,53,58,81.0,90,111,-1.0,-1,-1,100,8,8,1,8
tortoise-loop,CHECKSUM_L70_C1_D8,135,277175,9,8,-1,-1,0.03%,1,131,91.0,53,58,81.0,90,111,-1.0,-1,-1,100,8,8,1,8
tortoise-loop,CHECKSUM_L70_C1_D8,105,235940,8,7,-1,-1,0.02%,1,112,87.0,51,58,79.0,88,111,-1.0,-1,-1,100,8,8,1,8
tortoise-loop,CHECKSUM_L70_C1_D8,16,87791,7,6,-1,-1,0.01%,1,44,87.0,51,58,79.0,88,111,-1.0,-1,-1,100,8,8,1,8
tortoise-loop,CHECKSUM_L70_C1_D8,10,78620,7,6,-1,-1,0.01%,1,40,84.0,49,58,77.0,86,111,-1.0,-1,-1,100,8,8,1,8
tortoise-loop,CHECKSUM_L70_C1_D8,32,96203,8,7,-1,-1,0.01%,1,48,91.0,53,58,81.0,90,111,-1.0,-1,-1,100,8,8,1,8
tortoise-loop,CHECKSUM_L70_C1_D8,9,27848,2,1,-1,-1,0.01%,1,17,39.0,23,58,44.0,49,111,-1.0,-1,-1,50,4,8,1,8
tortoise-loop,CHECKSUM_L70_C1_D8,128,220652,5,4,-1,-1,0.02%,1,105,81.0,47,58,75.0,84,111,-1.0,-1,-1,100,8,8,1,8
tortoise-loop,CHECKSUM_L70_C1_D8,41,113433,6,5,-1,-1,0.01%,1,57,81.0,47,58,75.0,84,111,-1.0,-1,-1,100,8,8,1,8
tortoise-loop,CHECKSUM_L70_C1_D8,5,45108,6,5,-1,-1,0.01%,1,24,81.0,47,58,75.0,84,111,-1.0,-1,-1,100,8,8,1,8
tortoise-loop,CHECKSUM_L70_C1_D8,35,114697,7,6,-1,-1,0.01%,1,57,87.0,51,58,79.0,88,111,-1.0,-1,-1,100,8,8,1,8
tortoise-loop,CHECKSUM_L70_C1_D8,14,103935,9,8,-1,-1,0.01%,1,52,91.0,53,58,81.0,90,111,-1.0,-1,-1,100,8,8,1,8
tortoise-loop,CHECKSUM_L70_C1_D8,67,163771,9,8,-1,-1,0.02%,1,79,91.0,53,58,81.0,90,111,-1.0,-1,-1,100,8,8,1,8
tortoise-loop,CHECKSUM_L70_C1_D8,79,132383,8,7,-1,-1,0.02%,1,65,91.0,53,58,81.0,90,111,-1.0,-1,-1,100,8,8,1,8
tortoise-loop,CHECKSUM_L70_C1_D8,9,83864,8,7,-1,-1,0.01%,1,42,91.0,53,58,81.0,90,111,-1.0,-1,-1,100,8,8,1,8
tortoise-loop,CHECKSUM_L70_C8_D1,0,36082,6,5,-1,-1,0.01%,1,21,91.0,53,58,79.0,77,97,-1.0,-1,-1,100,8,8,8,1
tortoise-loop,CHECKSUM_L70_C8_D1,42,92260,9,8,-1,-1,0.01%,1,46,91.0,53,58,79.0,77,97,-1.0,-1,-1,100,8,8,8,1
tortoise-loop,CHECKSUM_L70_C8_D1,43,86256,9,8,-1,-1,0.01%,1,43,91.0,53,58,79.0,77,97,-1.0,-1,-1,100,8,8,8,1
tortoise-loop,CHECKSUM_L70_C8_D1,90,216121,8,7,-1,-1,0.02%,1,103,91.0,53,58,79.0,77,97,-1.0,-1,-1,100,8,8,8,1
tortoise-loop,CHECKSUM_L70_C8_D1,4,91207,9,8,-1,-1,0.01%,1,46,91.0,53,58,79.0,77,97,-1.0,-1,-1,100,8,8,8,1
tortoise-loop,CHECKSUM_L70_C8_D1,10,95873,9,8,-1,-1,0.01%,1,48,91.0,53,58,79.0,77,97,-1.0,-1,-1,100,8,8,8,1
tortoise-loop,CHECKSUM_L70_C8_D1,24,86398,9,8,-1,-1,0.01%,1,44,91.0,53,58,79.0,77,97,-1.0,-1,-1,100,8,8,8,1
tortoise-loop,CHECKSUM_L70_C8_D1,55,111741,7,6,-1,-1,0.01%,1,56,89.0,52,58,79.0,77,97,-1.0,-1,-1,100,8,8,8,1
tortoise-loop,CHECKSUM_L70_C8_D1,133,226105,7,6,-1,-1,0.02%,1,108,89.0,52,58,79.0,77,97,-1.0,-1,-1,100,8,8,8,1
tortoise-loop,CHECKSUM_L70_C8_D1,160,322058,8,7,-1,-1,0.02%,1,152,91.0,53,58,79.0,77,97,-1.0,-1,-1,100,8,8,8,1
tortoise-loop,CHECKSUM_L70_C8_D1,125,234257,9,8,-1,-1,0.02%,1,111,91.0,53,58,79.0,77,97,-1.0,-1,-1,100,8,8,8,1
tortoise-loop,CHECKSUM_L70_C8_D1,12,99620,7,6,-1,-1,0.01%,1,49,87.0,51,58,79.0,77,97,-1.0,-1,-1,100,8,8,8,1
tortoise-loop,CHECKSUM_L70_C8_D1,14,108380,9,8,-1,-1,0.01%,1,54,91.0,53,58,79.0,77,97,-1.0,-1,-1,100,8,8,8,1
tortoise-loop,CHECKSUM_L70_C8_D1,111,234672,9,8,-1,-1,0.02%,1,112,91.0,53,58,79.0,77,97,-1.0,-1,-1,100,8,8,8,1
tortoise-loop,CHECKSUM_L70_C8_D1,9,46825,8,7,-1,-1,0.01%,1,25,91.0,53,58,79.0,77,97,-1.0,-1,-1,100,8,8,8,1
tortoise-loop,CHECKSUM_L70_C8_D1,0,73603,8,7,-1,-1,0.01%,1,37,91.0,53,58,79.0,77,97,-1.0,-1,-1,100,8,8,8,1
tortoise-loop,CHECKSUM_L70_C8_D1,0,76674,9,8,-1,-1,0.01%,1,39,91.0,53,58,79.0,77,97,-1.0,-1,-1,100,8,8,8,1
tortoise-loop,CHECKSUM_L70_C8_D1,17,106275,8,7,-1,-1,0.01%,1,52,89.0,52,58,79.0,77,97,-1.0,-1,-1,100,8,8,8,1
tortoise-loop,CHECKSUM_L70_C8_D1,28,123415,9,8,-1,-1,0.01%,1,60,91.0,53,58,79.0,77,97,-1.0,-1,-1,100,8,8,8,1
tortoise-loop,CHECKSUM_L70_C8_D1,20,112433,9,8,-1,-1,0.01%,1,55,91.0,53,58,79.0,77,97,-1.0,-1,-1,100,8,8,8,1
tortoise-loop,CHECKSUM_L36_C1_D2,5,30919,3,2,-1,-1,0.01%,1,18,71.0,33,46,64.0,64,99,-1.0,-1,-1,75,6,8,1,2
tortoise-loop,CHECKSUM_L36_C1_D2,0,18185,3,2,-1,-1,0.01%,1,13,71.0,33,46,64.0,64,99,-1.0,-1,-1,75,6,8,1,2
tortoise-loop,CHECKSUM_L36_C1_D2,6,26900,3,2,-1,-1,0.01%,1,16,71.0,33,46,64.0,64,99,-1.0,-1,-1,75,6,8,1,2
tortoise-loop,CHECKSUM_L36_C1_D2,0,11898,3,2,-1,-1,0.01%,1,9,71.0,33,46,64.0,64,99,-1.0,-1,-1,75,6,8,1,2
tortoise-loop,CHECKSUM_L36_C1_D2,10,32291,3,2,-1,-1,0.01%,1,19,71.0,33,46,64.0,64,99,-1.0,-1,-1,75,6,8,1,2
tortoise-loop,CHECKSUM_L36_C1_D2,11,36735,3,2,-1,-1,0.01%,1,21,71.0,33,46,64.0,64,99,-1.0,-1,-1,75,6,8,1,2
tortoise-loop,CHECKSUM_L36_C1_D2,0,17432,3,2,-1,-1,0.01%,1,12,71.0,33,46,64.0,64,99,-1.0,-1,-1,75,6,8,1,2
tortoise-loop,CHECKSUM_L36_C1_D2,4,15516,2,1,-1,-1,0.01%,1,11,50.0,23,46,49.0,49,99,-1.0,-1,-1,50,4,8,1,2
tortoise-loop,CHECKSUM_L36_C1_D2,1,13232,3,2,-1,-1,0.01%,1,10,71.0,33,46,64.0,64,99,-1.0,-1,-1,75,6,8,1,2
tortoise-loop,CHECKSUM_L36_C1_D2,27,50616,3,2,-1,-1,0.01%,1,27,71.0,33,46,64.0,64,99,-1.0,-1,-1,75,6,8,1,2
tortoise-loop,CHECKSUM_L36_C1_D2,15,38927,3,2,-1,-1,0.01%,1,22,71.0,33,46,64.0,64,99,-1.0,-1,-1,75,6,8,1,2
tortoise-loop,CHECKSUM_L36_C1_D2,7,17345,2,1,-1,-1,0.01%,1,12,50.0,23,46,49.0,49,99,-1.0,-1,-1,50,4,8,1,2
tortoise-loop,CHECKSUM_L36_C1_D2,2,21576,3,2,-1,-1,0.01%,1,14,71.0,33,46,64.0,64,99,-1.0,-1,-1,75,6,8,1,2
tortoise-loop,CHECKSUM_L36_C1_D2,4,25330,3,2,-1,-1,0.01%,1,16,71.0,33,46,64.0,64,99,-1.0,-1,-1,75,6,8,1,2
tortoise-loop,CHECKSUM_L36_C1_D2,0,13626,3,2,-1,-1,0.01%,1,11,71.0,33,46,64.0,64,99,-1.0,-1,-1,75,6,8,1,2
tortoise-loop,CHECKSUM_L36_C1_D2,11,31660,3,2,-1,-1,0.01%,1,18,71.0,33,46,64.0,64,99,-1.0,-1,-1,75,6,8,1,2
tortoise-loop,CHECKSUM_L36_C1_D2,7,32246,3,2,-1,-1,0.01%,1,19,71.0,33,46,64.0,64,99,-1.0,-1,-1,75,6,8,1,2
tortoise-loop,CHECKSUM_L36_C1_D2,3,15771,3,2,-1,-1,0.01%,1,11,71.0,33,46,64.0,64,99,-1.0,-1,-1,75,6,8,1,2
tortoise-loop,CHECKSUM_L36_C1_D2,3,23895,3,2,-1,-1,0.01%,1,15,71.0,33,46,64.0,64,99,-1.0,-1,-1,75,6,8,1,2
tortoise-loop,CHECKSUM_L36_C1_D2,11,33083,3,2,-1,-1,0.01%,1,19,71.0,33,46,64.0,64,99,-1.0,-1,-1,75,6,8,1,2
tortoise-loop,CHECKSUM_L36_C2_D1,14,38979,3,2,-1,-1,0.01%,1,22,71.0,33,46,64.0,63,97,-1.0,-1,-1,75,6,8,2,1
tortoise-loop,CHECKSUM_L36_C2_D1,6,26820,3,2,-1,-1,0.01%,1,16,71.0,33,46,64.0,63,97,-1.0,-1,-1,75,6,8,2,1
tortoise-loop,CHECKSUM_L36_C2_D1,8,19873,3,2,-1,-1,0.01%,1,13,71.0,33,46,64.0,63,97,-1.0,-1,-1,75,6,8,2,1
tortoise-loop,CHECKSUM_L36_C2_D1,16,32904,3,2,-1,-1,0.01%,1,20,71.0,33,46,64.0,63,97,-1.0,-1,-1,75,6,8,2,1
tortoise-loop,CHECKSUM_L36_C2_D1,2,11969,3,2,-1,-1,0.01%,1,9,71.0,33,46,64.0,63,97,-1.0,-1,-1,75,6,8,2,1
tortoise-loop,CHECKSUM_L36_C2_D1,14,29029,3,2,-1,-1,0.01%,1,17,71.0,33,46,64.0,63,97,-1.0,-1,-1,75,6,8,2,1
tortoise-loop,CHECKSUM_L36_C2_D1,0,18311,3,2,-1,-1,0.01%,1,12,71.0,33,46,64.0,63,97,-1.0,-1,-1,75,6,8,2,1
tortoise-loop,CHECKSUM_L36_C2_D1,1,10471,3,2,-1,-1,0.01%,1,9,71.0,33,46,64.0,63,97,-1.0,-1,-1,75,6,8,2,1
tortoise-loop,CHECKSUM_L36_C2_D1,5,23714,3,2,-1,-1,0.01%,1,15,71.0,33,46,64.0,63,97,-1.0,-1,-1,75,6,8,2,1
tortoise-loop,CHECKSUM_L36_C2_D1,5,15527,2,1,-1,-1,0.01%,1,11,52.0,24,46,50.0,49,97,-1.0,-1,-1,50,4,8,2,1
tortoise-loop,CHECKSUM_L36_C2_D1,1,11967,3,2,-1,-1,0.01%,1,10,71.0,33,46,64.0,63,97,-1.0,-1,-1,75,6,8,2,1
tortoise-loop,CHECKSUM_L36_C2_D1,3,22887,3,2,-1,-1,0.01%,1,15,71.0,33,46,64.0,63,97,-1.0,-1,-1,75,6,8,2,1
tortoise-loop,CHECKSUM_L36_C2_D1,4,14696,3,2,-1,-1,0.01%,1,10,71.0,33,46,64.0,63,97,-1.0,-1,-1,75,6,8,2,1
tortoise-loop,CHECKSUM_L36_C2_D1,0,2658,2,1,-1,-1,0.01%,1,5,52.0,24,46,50.0,49,97,-1.0,-1,-1,50,4,8,2,1
tortoise-loop,CHECKSUM_L36_C2_D1,32,54599,3,2,-1,-1,0.01%,1,29,71.0,33,46,64.0,63,97,-1.0,-1,-1,75,6,8,2,1
tortoise-loop,CHECKSUM_L36_C2_D1,0,21034,3,2,-1,-1,0.01%,1,14,71.0,33,46,64.0,63,97,-1.0,-1,-1,75,6,8,2,1
tortoise-loop,CHECKSUM_L36_C2_D1,22,40179,2,1,-1,-1,0.01%,1,23,52.0,24,46,50.0,49,97,-1.0,-1,-1,50,4,8,2,1
tortoise-loop,CHECKSUM_L36_C2_D1,5,16472,2,1,-1,-1,0.01%,1,11,52.0,24,46,50.0,49,97,-1.0,-1,-1,50,4,8,2,1
tortoise-loop,CHECKSUM_L36_C2_D1,6,18352,3,2,-1,-1,0.01%,1,13,71.0,33,46,64.0,63,97,-1.0,-1,-1,75,6,8,2,1
tortoise-loop,CHECKSUM_L36_C2_D1,11,25832,3,2,-1,-1,0.01%,1,16,71.0,33,46,64.0,63,97,-1.0,-1,-1,75,6,8,2,1
tortoise-loop,CHECKSUM_L60_C6_D1,3,33203,7,6,-1,-1,0.01%,1,19,90.0,49,54,79.0,77,97,-1.0,-1,-1,100,8,8,6,1
tortoise-loop,CHECKSUM_L60_C6_D1,11,46901,7,6,-1,-1,0.01%,1,26,90.0,49,54,79.0,77,97,-1.0,-1,-1,100,8,8,6,1
tortoise-loop,CHECKSUM_L60_C6_D1,39,86674,6,5,-1,-1,0.01%,1,44,88.0,48,54,79.0,77,97,-1.0,-1,-1,100,8,8,6,1
tortoise-loop,CHECKSUM_L60_C6_D1,12,33667,2,1,-1,-1,0.01%,1,20,51.0,28,54,50.0,49,97,-1.0,-1,-1,50,4,8,6,1
tortoise-loop,CHECKSUM_L60_C6_D1,85,153804,5,4,-1,-1,0.02%,1,74,88.0,48,54,79.0,77,97,-1.0,-1,-1,100,8,8,6,1
tortoise-loop,CHECKSUM_L60_C6_D1,11,89387,7,6,-1,-1,0.01%,1,45,90.0,49,54,79.0,77,97,-1.0,-1,-1,100,8,8,6,1
tortoise-loop,CHECKSUM_L60_C6_D1,56,108233,5,4,-1,-1,0.01%,1,54,88.0,48,54,79.0,77,97,-1.0,-1,-1,100,8,8,6,1
tortoise-loop,CHECKSUM_L60_C6_D1,4,19452,2,1,-1,-1,0.01%,1,13,51.0,28,54,50.0,49,97,-1.0,-1,-1,50,4,8,6,1
tortoise-loop,CHECKSUM_L60_C6_D1,15,49667,5,4,-1,-1,0.01%,1,27,88.0,48,54,79.0,77,97,-1.0,-1,-1,100,8,8,6,1
tortoise-loop,CHECKSUM_L60_C6_D1,20,102469,7,6,-1,-1,0.01%,1,52,90.0,49,54,79.0,77,97,-1.0,-1,-1,100,8,8,6,1
tortoise-loop,CHECKSUM_L60_C6_D1,22,61539,7,6,-1,-1,0.01%,1,32,90.0,49,54,79.0,77,97,-1.0,-1,-1,100,8,8,6,1
tortoise-loop,CHECKSUM_L60_C6_D1,6,21284,6,5,-1,-1,0.01%,1,13,88.0,48,54,79.0,77,97,-1.0,-1,-1,100,8,8,6,1
tortoise-loop,CHECKSUM_L60_C6_D1,8,57088,6,5,-1,-1,0.01%,1,31,88.0,48,54,79.0,77,97,-1.0,-1,-1,100,8,8,6,1
tortoise-loop,CHECKSUM_L60_C6_D1,26,108614,7,6,-1,-1,0.01%,1,54,90.0,49,54,79.0,77,97,-1.0,-1,-1,100,8,8,6,1
tortoise-loop,CHECKSUM_L60_C6_D1,4,48921,7,6,-1,-1,0.01%,1,27,90.0,49,54,79.0,77,97,-1.0,-1,-1,100,8,8,6,1
tortoise-loop,CHECKSUM_L60_C6_D1,8,41787,4,3,-1,-1,0.01%,1,23,87.0,47,54,79.0,77,97,-1.0,-1,-1,100,8,8,6,1
tortoise-loop,CHECKSUM_L60_C6_D1,14,47336,5,4,-1,-1,0.01%,1,26,87.0,47,54,79.0,77,97,-1.0,-1,-1,100,8,8,6,1
tortoise-loop,CHECKSUM_L60_C6_D1,0,35876,7,6,-1,-1,0.01%,1,21,90.0,49,54,79.0,77,97,-1.0,-1,-1,100,8,8,6,1
tortoise-loop,CHECKSUM_L60_C6_D1,11,31464,2,1,-1,-1,0.01%,1,18,51.0,28,54,50.0,49,97,-1.0,-1,-1,50,4,8,6,1
tortoise-loop,CHECKSUM_L60_C6_D1,86,154129,3,2,-1,-1,0.02%,1,75,68.0,37,54,64.0,63,97,-1.0,-1,-1,75,6,8,6,1
tortoise-loop,CHECKSUM_L52_C5_D1,54,89948,2,1,-1,-1,0.01%,1,46,51.0,27,52,50.0,49,97,-1.0,-1,-1,50,4,8,5,1
tortoise-loop,CHECKSUM_L52_C5_D1,4,43187,6,5,-1,-1,0.01%,1,24,90.0,47,52,79.0,77,97,-1.0,-1,-1,100,8,8,5,1
tortoise-loop,CHECKSUM_L52_C5_D1,10,53229,6,5,-1,-1,0.01%,1,28,90.0,47,52,79.0,77,97,-1.0,-1,-1,100,8,8,5,1
tortoise-loop,CHECKSUM_L52_C5_D1,0,57517,6,5,-1,-1,0.01%,1,30,90.0,47,52,79.0,77,97,-1.0,-1,-1,100,8,8,5,1
tortoise-loop,CHECKSUM_L52_C5_D1,76,121731,2,1,-1,-1,0.01%,1,59,51.0,27,52,50.0,49,97,-1.0,-1,-1,50,4,8,5,1
tortoise-loop,CHECKSUM_L52_C5_D1,22,57371,6,5,-1,-1,0.01%,1,30,90.0,47,52,79.0,77,97,-1.0,-1,-1,100,8,8,5,1
tortoise-loop,CHECKSUM_L52_C5_D1,17,35630,2,1,-1,-1,0.01%,1,21,51.0,27,52,50.0,49,97,-1.0,-1,-1,50,4,8,5,1
tortoise-loop,CHECKSUM_L52_C5_D1,18,51172,5,4,-1,-1,0.01%,1,27,90.0,47,52,79.0,77,97,-1.0,-1,-1,100,8,8,5,1
tortoise-loop,CHECKSUM_L52_C5_D1,26,65257,3,2,-1,-1,0.01%,1,34,69.0,36,52,64.0,63,97,-1.0,-1,-1,75,6,8,5,1
tortoise-loop,CHECKSUM_L52_C5_D1,16,34886,6,5,-1,-1,0.01%,1,20,90.0,47,52,79.0,77,97,-1.0,-1,-1,100,8,8,5,1
tortoise-loop,CHECKSUM_L52_C5_D1,22,55511,4,3,-1,-1,0.01%,1,30,88.0,46,52,79.0,77,97,-1.0,-1,-1,100,8,8,5,1
tortoise-loop,CHECKSUM_L52_C5_D1,21,57528,6,5,-1,-1,0.01%,1,30,90.0,47,52,79.0,77,97,-1.0,-1,-1,100,8,8,5,1
tortoise-loop,CHECKSUM_L52_C5_D1,30,86116,6,5,-1,-1,0.01%,1,43,90.0,47,52,79.0,77,97,-1.0,-1,-1,100,8,8,5,1
tortoise-loop,CHECKSUM_L52_C5_D1,2,31240,6,5,-1,-1,0.01%,1,18,90.0,47,52,79.0,77,97,-1.0,-1,-1,100,8,8,5,1
tortoise-loop,CHECKSUM_L52_C5_D1,5,36891,4,3,-1,-1,0.01%,1,21,90.0,47,52,79.0,77,97,-1.0,-1,-1,100,8,8,5,1
tortoise-loop,CHECKSUM_L52_C5_D1,1,40788,6,5,-1,-1,0.01%,1,23,90.0,47,52,79.0,77,97,-1.0,-1,-1,100,8,8,5,1
tortoise-loop,CHECKSUM_L52_C5_D1,6,32406,6,5,-1,-1,0.01%,1,19,90.0,47,52,79.0,77,97,-1.0,-1,-1,100,8,8,5,1
tortoise-loop,CHECKSUM_L52_C5_D1,6,34636,4,3,-1,-1,0.01%,1,20,86.0,45,52,79.0,77,97,-1.0,-1,-1,100,8,8,5,1
tortoise-loop,CHECKSUM_L52_C5_D1,7,52921,6,5,-1,-1,0.01%,1,28,90.0,47,52,79.0,77,97,-1.0,-1,-1,100,8,8,5,1
tortoise-loop,CHECKSUM_L52_C5_D1,1,28684,3,2,-1,-1,0.01%,1,17,69.0,36,52,64.0,63,97,-1.0,-1,-1,75,6,8,5,1
tortoise-loop,CHECKSUM_L46_C1_D4,8,34381,3,2,-1,-1,0.01%,1,20,66.0,33,50,62.0,64,103,-1.0,-1,-1,75,6,8,1,4
tortoise-loop,CHECKSUM_L46_C1_D4,2,24263,4,3,-1,-1,0.01%,1,15,90.0,45,50,79.0,82,103,-1.0,-1,-1,100,8,8,1,4
tortoise-loop,CHECKSUM_L46_C1_D4,7,31320,4,3,-1,-1,0.01%,1,19,86.0,43,50,77.0,80,103,-1.0,-1,-1,100,8,8,1,4
tortoise-loop,CHECKSUM_L46_C1_D4,4,15940,3,2,-1,-1,0.01%,1,12,66.0,33,50,62.0,64,103,-1.0,-1,-1,75,6,8,1,4
tortoise-loop,CHECKSUM_L46_C1_D4,19,51668,4,3,-1,-1,0.01%,1,27,86.0,43,50,77.0,80,103,-1.0,-1,-1,100,8,8,1,4
tortoise-loop,CHECKSUM_L46_C1_D4,22,53637,3,2,-1,-1,0.01%,1,28,66.0,33,50,62.0,64,103,-1.0,-1,-1,75,6,8,1,4
tortoise-loop,CHECKSUM_L46_C1_D4,2,15379,3,2,-1,-1,0.01%,1,11,66.0,33,50,62.0,64,103,-1.0,-1,-1,75,6,8,1,4
tortoise-loop,CHECKSUM_L46_C1_D4,2,37807,5,4,-1,-1,0.01%,1,21,90.0,45,50,79.0,82,103,-1.0,-1,-1,100,8,8,1,4
tortoise-loop,CHECKSUM_L46_C1_D4,0,38158,5,4,-1,-1,0.01%,1,21,90.0,45,50,79.0,82,103,-1.0,-1,-1,100,8,8,1,4
tortoise-loop,CHECKSUM_L46_C1_D4,8,32989,3,2,-1,-1,0.01%,1,19,66.0,33,50,62.0,64,103,-1.0,-1,-1,75,6,8,1,4
tortoise-loop,CHECKSUM_L46_C1_D4,14,40973,4,3,-1,-1,0.01%,1,23,86.0,43,50,77.0,80,103,-1.0,-1,-1,100,8,8,1,4
tortoise-loop,CHECKSUM_L46_C1_D4,26,50223,3,2,-1,-1,0.01%,1,27,66.0,33,50,62.0,64,103,-1.0,-1,-1,75,6,8,1,4
tortoise-loop,CHECKSUM_L46_C1_D4,19,50966,4,3,-1,-1,0.01%,1,27,86.0,43,50,77.0,80,103,-1.0,-1,-1,100,8,8,1,4
tortoise-loop,CHECKSUM_L46_C1_D4,5,30486,4,3,-1,-1,0.01%,1,18,90.0,45,50,79.0,82,103,-1.0,-1,-1,100,8,8,1,4
tortoise-loop,CHECKSUM_L46_C1_D4,3,29147,5,4,-1,-1,0.01%,1,17,90.0,45,50,79.0,82,103,-1.0,-1,-1,100,8,8,1,4
tortoise-loop,CHECKSUM_L46_C1_D4,20,52490,4,3,-1,-1,0.01%,1,28,86.0,43,50,77.0,80,103,-1.0,-1,-1,100,8,8,1,4
tortoise-loop,CHECKSUM_L46_C1_D4,4,27659,5,4,-1,-1,0.01%,1,17,90.0,45,50,79.0,82,103,-1.0,-1,-1,100,8,8,1,4
tortoise-loop,CHECKSUM_L46_C1_D4,12,44139,4,3,-1,-1,0.01%,1,25,90.0,45,50,79.0,82,103,-1.0,-1,-1,100,8,8,1,4
tortoise-loop,CHECKSUM_L46_C1_D4,11,40394,5,4,-1,-1,0.01%,1,22,90.0,45,50,79.0,82,103,-1.0,-1,-1,100,8,8,1,4
tortoise-loop,CHECKSUM_L46_C1_D4,0,24225,5,4,-1,-1,0.01%,1,15,90.0,45,50,79.0,82,103,-1.0,-1,-1,100,8,8,1,4
